staging_id,candidate_name,city,region,original_source,original_source_tier,cartescolaire_name,cartescolaire_id,match_type,match_confidence,live_match,duplicate_signal,recommended_decision,reason
e37bfbae-158a-402d-9a1b-a9f34e0e1b55,CEFTI,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,CEFTI,14280735,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. nom exact mais matricule cartescolaire de schema DIGIT_PREFIX (region non decodable, voir SPRINT MINESEC V1.1) - geographie non verifiable independamment, pas de conflit connu"
ea7c760b-ea36-4fb3-a22c-579b6b28cd76,CEGT MALANGUE,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,CEGT DE MALANGUE,14280736,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. nom exact mais matricule cartescolaire de schema DIGIT_PREFIX (region non decodable, voir SPRINT MINESEC V1.1) - geographie non verifiable independamment, pas de conflit connu"
293f466f-a9fb-4ef9-998d-a9e23d3cf8a3,CETI NGUEUGA,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,CETI BILINGUE NGUEUGA TECH FR,14280701,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. chevauchement de mots fort (100%), region non decodable (schema DIGIT_PREFIX) mais aucun conflit"
a4196e2a-03c5-4271-be1b-0c423b4cc9cc,CETI STE CECILE,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,INSTITUT POLYVALENT BILINGUE CECILE ET GABRIEL DIPITO,11060306,OFFICIAL_STRONG,HIGH,,matricule cartescolaire 11060306 egalement revendique par 1 autre(s) candidat(s) staging,DUPLICATE_REVIEW,matricule cartescolaire 11060306 egalement revendique par 1 autre(s) candidat(s) staging
7c697aa7-2299-48e8-a396-1cff6c9f33a9,COLLEGE ANDRE MALRAUX,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,COLLEGE ANDRE MALRAUX,14280738,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. nom exact mais matricule cartescolaire de schema DIGIT_PREFIX (region non decodable, voir SPRINT MINESEC V1.1) - geographie non verifiable independamment, pas de conflit connu"
520a0ebd-d333-4fb8-a9d1-3f082fabdbf0,COLLEGE BENEDICTE,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,COLLEGE BENEDICTE,14280612,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. nom exact mais matricule cartescolaire de schema DIGIT_PREFIX (region non decodable, voir SPRINT MINESEC V1.1) - geographie non verifiable independamment, pas de conflit connu"
b2042a09-4a41-4594-aa2a-bd47f61f1cf3,COLLEGE BILINGUE ADONAÏ,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,COLLEGE BILINGUE ADONAI,14280739,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. nom exact mais matricule cartescolaire de schema DIGIT_PREFIX (region non decodable, voir SPRINT MINESEC V1.1) - geographie non verifiable independamment, pas de conflit connu"
953ed8a0-db0b-4e92-b17d-e0bd7bfd8355,COLLEGE BILINGUE BONCHOUO,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,COLLEGE BILINGUE BONCHOUO,14280703,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. nom exact mais matricule cartescolaire de schema DIGIT_PREFIX (region non decodable, voir SPRINT MINESEC V1.1) - geographie non verifiable independamment, pas de conflit connu"
05a62eff-a78f-4ab9-afa0-5075b9e933cb,COLLEGE BILINGUE EMERGENCE MIAFO SOLANGE,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,COLLEGE BILINGUE EMERGENCE MIAFFO SOLANGE,14280706,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. chevauchement de mots fort (67%), region non decodable (schema DIGIT_PREFIX) mais aucun conflit"
76810653-17e2-4871-8b4f-7a64c6a27e84,COLLEGE BILINGUE FANON ET CESAIRE,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,COLLEGE BILINGUE FANON ET CESAIRE,14280614,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. nom exact mais matricule cartescolaire de schema DIGIT_PREFIX (region non decodable, voir SPRINT MINESEC V1.1) - geographie non verifiable independamment, pas de conflit connu"
a4c189dc-69e8-4b53-b493-8e226ad7fee5,COLLEGE BILINGUE LA CADENELLE,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,COLLEGE PRIVE BILINGUE LA CADENELLE,14280774,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. chevauchement de mots fort (100%), region non decodable (schema DIGIT_PREFIX) mais aucun conflit"
f151be76-dd16-4c1a-8629-b43991c71d51,COLLEGE BILINGUE L'ORCHIDEE,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,COLLEGE BILINGUE ORCHIDEE,14280749,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. nom exact mais matricule cartescolaire de schema DIGIT_PREFIX (region non decodable, voir SPRINT MINESEC V1.1) - geographie non verifiable independamment, pas de conflit connu"
f439adb4-1677-452e-ac47-97f1119f1140,COLLEGE BILINGUE LA PERLE,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,COLLEGE POLYVALENT LA PERLE PLUS,11061065,OFFICIAL_STRONG,HIGH,,matricule cartescolaire 11061065 egalement revendique par 1 autre(s) candidat(s) staging,DUPLICATE_REVIEW,matricule cartescolaire 11061065 egalement revendique par 1 autre(s) candidat(s) staging
e3e0380c-ccdc-4184-a6bd-761f74adeca8,COLLEGE BILINGUE LAVAL,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,COLLEGE BILINGUE LAVAL DE MAKEPE,14280747,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. chevauchement de mots fort (100%), region non decodable (schema DIGIT_PREFIX) mais aucun conflit"
175d0b2f-efc0-4c53-ba09-4b37da0c465e,COLLEGE BILINGUE LES LEADERS,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,COLLEGE BILINGUE LES LEADERS,14280889,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. nom exact mais matricule cartescolaire de schema DIGIT_PREFIX (region non decodable, voir SPRINT MINESEC V1.1) - geographie non verifiable independamment, pas de conflit connu"
fc63ea31-f080-4630-886c-3662925026d3,COLLEGE BILINGUE MATURITE,Douala,Littoral,https://memoirelittoral0.jimdofree.com/secondaire/littoral/colleges-prives-laics/,TIER3,COLLEGE BILINGUE DE LA MATURITE,14280742,OFFICIAL_STRONG,HIGH,,,CLEAN_APPROVABLE,"identite fortement alignee, aucun conflit detecte. nom exact mais matricule cartescolaire de schema DIGIT_PREFIX (region non decodable, voir SPRINT MINESEC V1.1) - geographie non verifiable independamment, pas de conflit connu"
