official_id,official_name,region,department,arrondissement,existing_match_id,existing_name,match_type,confidence,recommended_action
5CC1GSFD102014103,CES de METEP,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CC1GSFD110596107,Lyce de BIBEY,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CE1GSFD100766112,CES d'ENDOUMDANE,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CE1GSFD100593111,CES de ZOA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CE1GSFD110124108,Lyce de BANA-ONDOM,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CE1GSFD110541109,Lyce de LEMBE-YEZOUM,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CH1GSFD102443109,CES de NDJORE,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CH1GSBD110468106,Lyce Bilingue de MBANDJOCK,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CH1GSFD110137113,Lyce de MBANDJOCK,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CI1GSFD102464099,CES de MEKON II,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CI1GSFD100114108,CES de NGO'O,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CI1GSFD100480106,CES de VELA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CI1GSBD112087112,Lyce Bilingue de MINTA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CI1GSFD110426111,Lyce de WALL,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CJ1GSFD101886104,CES d'OUASSA-BAMVELE,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CJ1GSFD100415107,CES de BIBOA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CJ1GSFD100378107,CES de DEA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CJ1GSBD112195111,Lyce Bilingue de NANGA-EBOKO,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CJ1GSFD111355078,Lyce Classique de NANGA-EBOKO,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CJ1GSFD110432114,Lyce de NANGA-EBOKO-RURAL,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CK1GSFD101633112,CES de CAMP-NANGAH,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CK1GSBD110390109,Lyce Bilingue de NKOTENG,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CK1GSFD111673096,Lyce de NKOTENG,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5CL1GSFD110015112,Lyce de NSEM,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EC1GSFD102379110,CES d'ELON,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EC1GSFD110571100,Lyce de BATSCHENGA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EE1GSFD100668107,CES de KOAN,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EE1GSFD100863110,CES de LEKA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EE1GSFD101075109,CES de NKANG-EFOK,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EE1GSFD101942112,CES de NKOM,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EE1GSFD112081101,Lyce d'EBEBDA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EH1GSFD112402105,Lyce d'ELIG-MFOMO,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EH1GSFD110860112,Lyce de KOKODO,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EH1GSFD110627111,Lyce de NIGA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EI1GSFD101079110,CES de KOMO-EVODOULA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EI1GSFD100585109,CES de NLOUDOU,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EI1GSBD111909115,Lyce Bilingue d'EVODOULA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EI1GSFD111913112,Lyce de NKOLASSA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EI1GSFD112406111,Lyce de NKOLKOUGDA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EI1GSFD110176111,Lyce de PONGSOLO,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EJ1GSFD101063110,CES d'EKEKAM III,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EJ1GSFD100844111,CES de NKOLMEYANG-LOBO,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EJ1GSFD111068108,Lyce de LOBO,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EJ1GSFD112136099,Lyce Moderne de NLONG,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EK1GSFD102359110,CES D'ELIG-AMBASSA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EK1GSFD102362110,CES de KOUGOUDA-CENTRE,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EK1GSBD102460112,Lyce Bilingue de MONATELE,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EK1GSFD110163112,Lyce de MONABO,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EK1GSFD112455078,Lyce de MONATELE,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EK1GSFD111867112,Lyce de MONATELE II,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EL1GSFD102434109,CES d'ELIG-NGOMO,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EL1GSFD100133109,CES d'ELIG-NKOUMA,CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
5EL1GSFD102447106,CES d'ESSONG (Obala),CENTRE,,,,,no_match,none,candidat nouveau (aucune correspondance trouvée)
