staging_id,name,raw_name,region,city,institution_type,creation_order,opening_authorization,source,match_type,matched_establishment_id,decision,reason,pii_safe,extraction_status
dd59929f-728d-403b-aeba-2f2e0d4e4076,Acces Care Institute (ACI),Acces Care Institute (ACI),North West,Nkwen,IPES/Université d'Etat,,,http://www.minesup.gov.cm/index.php/acces-care-institute-aci/,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
f4705c18-d713-4e74-abc4-b2636d918109,Bamenda University Institute of Science and Technology (BUIST),Bamenda University Institute of Science and Technology (BUIST),Nord-Ouest,Bamenda (Mile 3 Nkwen),IPES/Université d'Etat,N°05/0083/MINESUP ; N°05/0084/MINESUP ;  N°05/0085/MINESUP ;  N°05/0086/MINESUP du 07 septembre 2005,N°05/0088/MINESUP ; N°05/0089/MINESUP ; N°05/0092/MINESUP ;  N°05/0093/MINESUP ;  du 07 septembre 2005.,https://minesup.gov.cm/?page_id=7775&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
23f8537b-bf0d-44ca-8569-e043464cb8c5,Baptist Institute of Higher Learning,Baptist Institute of Higher Learning,Nord-Ouest,Bamenda,IPES/Université d'Etat,19-043372/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 avril 2019,19-043372/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 avril 2019,https://minesup.gov.cm/?page_id=7811&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",true,PASS
cf0cc340-6e85-4a1c-8ac4-fb75876d88c6,Capitol Higher Institute of Health Sciences and Beauty Therapy,Capitol Higher Institute of Health Sciences and Beauty Therapy,Nord-Ouest,Bamenda (Mile 3 Nkwen),IPES/Université d'Etat,N°05/0078/MINESUP du  07 septembre 2005,N°13/0052/MINESUP du  09 janvier 2013,https://minesup.gov.cm/?page_id=7779&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
05440cf1-8ad6-4a6b-b530-c644e882d2dc,Catholic University Institute of Bamenda,Catholic University Institute of Bamenda,Nord-Ouest,,IPES/Université d'Etat,N°12/00359/MINESUP  du 06 août 2012,N°11/0047/MINESUP du 12 janvier 2011,https://minesup.gov.cm/?page_id=7781&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
33030456-77a2-4ad6-bcaa-eeca225e1546,Central Higher Institute (CHI),Central Higher Institute (CHI),Nord-Ouest,Bamenda,IPES/Université d'Etat,N°16-10075/L/MINESUP/SG/DDES/ESUP/SDA/OASB du 05 septembre 2016,N°16-10075/L/MINESUP/SG/DDES/ESUP/SDA/OASB du 05 septembre 2016,https://minesup.gov.cm/?page_id=7825&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
e64bec3d-a5ad-4744-9808-0598e46d20c0,Christian University Institute,Christian University Institute,Nord-Ouest,Mbatu,IPES/Université d'Etat,N°07/0143/MINUP du 21 septembre 2007,N°12/0396/MINESUP du 17 août 2012,https://minesup.gov.cm/?page_id=7783&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
9be315b4-b2d4-4c89-a45a-75ac9b0f55af,Continental University Institute of science and Technology (CUIST),Continental University Institute of science and Technology (CUIST),North West Region,Upper Melim Kumbo,IPES/Université d'Etat,,,https://www.minesup.gov.cm/index.php/continental-university-institute-of-science-and-technology-cuist/,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
ebdd0ac9-833a-4aab-a386-c97da52543ec,Experiental Higher Institute of Science and Technology (EXHIST),Experiental Higher Institute of Science and Technology (EXHIST),CENTRE/ NORTH WEST(Annexe),"Entre collège Ebanda, Biyem-Assi, Yaoundé / Below Linguistic Centre, Old Town Bamenda (Annexe)",IPES/Université d'Etat,,,https://www.minesup.gov.cm/index.php/experiental-higher-institute-of-science-and-technology-exhist/,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
88dd575f-5dfe-4578-9fdb-92c8c7b27577,Florence Nigtingale Higher Institute of Health and Biomedical Sciences,Florence Nigtingale Higher Institute of Health and Biomedical Sciences,Nord-Ouest,,IPES/Université d'Etat,,,https://minesup.gov.cm/index.php/region-nord-ouest/,NO_MATCH (liste seule),,SOURCE_REVIEW,aucune fiche détail MINESUP disponible pour ce candidat,true,PASS
f8eda3ef-c0d1-4582-a832-df528171a2fd,Fonab Polytechnic,Fonab Polytechnic,Nord-Ouest,(Mile 3 Nkwen),IPES/Université d'Etat,N°02/0051/MINESUP du,N°02/0073/MINESUP du 13/08/2002.,https://minesup.gov.cm/?page_id=7787&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
56e97176-8e27-44ba-b5f1-1d2e6f22dee5,Havard Higher Institute of Science and Technology,Havard Higher Institute of Science and Technology,Nord-Ouest,Up station,IPES/Université d'Etat,N°14/N/02628/MINESUP/SG/DDES/ESUP/SDA/MM du 22 avril 2014,N°14/N/02628/MINESUP/SG/DDES/ESUP/SDA/MM du 22 avril 2014,https://minesup.gov.cm/?page_id=7789&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
94b3607e-5354-4e8b-bb61-1da9ecf8ff23,Higher Institute for Business and management Sciences,Higher Institute for Business and management Sciences,Nord-Ouest,Bamenda (Mbatu),IPES/Université d'Etat,N°06/0050/MINESUP du 02 juin 2006,N°12/0393/MINESUP du 17 août 2012,https://minesup.gov.cm/?page_id=7791&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
332cde68-1f88-4eb5-bf50-96cae4b1f322,Higher Institute for Professional Development and Training (HIPDET),Higher Institute for Professional Development and Training (HIPDET),Nord-Ouest,,IPES/Université d'Etat,N°16-13298/N/MINESUP/DDES/ESUP/SDA/NJN/ebm du 08décembre 2016,N°16-13298/N/MINESUP/DDES/ESUP/SDA/NJN/ebm du 08décembre 2016,https://minesup.gov.cm/?page_id=7809&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
39d6a1ab-329c-446f-b2cf-ca35202ebbf3,Higher Institute of Professionalism and Technology (HIPT),Higher Institute of Professionalism and Technology (HIPT),Nord-Ouest,Kumbo,IPES/Université d'Etat,N°17-08144/L/MINESUP/DDES/ESUP/SDA/MM du 04 août 2017,N°17-08144/L/MINESUP/DDES/ESUP/SDA/MM du 04 août 2017,https://minesup.gov.cm/?page_id=7816&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
5e1f5128-0739-4655-94c0-9ee4fe57a6a0,Impact Polytechnic,Impact Polytechnic,Nord-Ouest,,IPES/Université d'Etat,,,https://minesup.gov.cm/index.php/region-nord-ouest/,NO_MATCH (liste seule),,SOURCE_REVIEW,aucune fiche détail MINESUP disponible pour ce candidat,true,PASS
5ce1ddb8-eff8-44dc-9aed-e6d5fc8a59b6,International University of Bamenda,International University of Bamenda,Nord-ouest,Kumbo,IPES/Université d'Etat,N°11/00507/MINESUP/SG/DDES du,N°12/0363/MINESUP du 17 août 2012,https://minesup.gov.cm/?page_id=7795&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
c50e1225-cf84-4e9b-b0c6-0b1095b0ab8b,Jomatt Polytechnic Institute of Education,Jomatt Polytechnic Institute of Education,Nord-Ouest,Bamenda,IPES/Université d'Etat,N°16-07755/N/MINESUP/SG/DDES/ESUP/SDA/NJN/ebm du 19 juillet 2016,N°16-07755/N/MINESUP/SG/DDES/ESUP/SDA/NJN/ebm du 19 juillet 2016,https://minesup.gov.cm/?page_id=7827&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
c92fec8b-4166-4990-8d8b-ef8194505480,Laureate Higher Institute of Business and Administration (LAHIBA),Laureate Higher Institute of Business and Administration (LAHIBA),Nord-Ouest,,IPES/Université d'Etat,N°13/0400/MINESUP/SG/DDES of 10 septembre 2013,N°14/0395/MINESUP/SG/DDES/ du 04 juillet 2014,https://minesup.gov.cm/?page_id=7797&preview=true,NO_MATCH (fiche détail disponible),,CLEAN_APPROVABLE,"candidat nouveau, aucun signal de doublon",false,PASS
