staging_id,name_raw,name_normalized,region,programs,education_family,category_decision,category_evidence,classification,classification_reason,match_live_level,match_staging_level,status,source
68c3cd5b-de66-4f3c-9c3c-fdbdaad7f54c,COMPLEXE DE FORMATION DES PERSONNELS DE SANTE � ROIS MAGES � COFPSAROMA DE BALENG,complexe de formation des personnels de sante rois mages cofpsaroma de baleng,Ouest,Infirmiers,health_training,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",NO_MATCH,NO_MATCH,normalized,https://examen-national-special-minsante.cm/loadfile/L2hvbWUvZXhhbWVuL2NvbmNvdXJzZnJhbWV3b3JrL3N0b3JhZ2UvcGRmL3BhZ2VzL3Jlc3VsdGF0cy9MSVNURV9FQ09MRVNfQUdSRUVTX01JTlNBTlRFXzIwMjUucGRm
b92dd780-b05c-4b47-aaa4-e6d0b6783778,"COMPLEXE PRIVE DE FORMATION DES PERSONNELS MEDICO-SANITAIRES ""FONDATION TSOPJIO ET TAKOUDJOU"" DE DSCHANG",complexe prive de formation des personnels medico sanitaires fondation tsopjio et takoudjou de dschang,Ouest,Analyses Médicales | Infirmiers,health_training,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",NO_MATCH,NO_MATCH,normalized,https://examen-national-special-minsante.cm/loadfile/L2hvbWUvZXhhbWVuL2NvbmNvdXJzZnJhbWV3b3JrL3N0b3JhZ2UvcGRmL3BhZ2VzL3Jlc3VsdGF0cy9MSVNURV9FQ09MRVNfQUdSRUVTX01JTlNBTlRFXzIwMjUucGRm
3c04b5c8-4a6d-4ad8-b625-bda87186c800,COMPLEXE PRIVE DE FORMATION DU PERSONNEL DE LA SANTE DE MBOUO BANDJOUN,complexe prive de formation du personnel de la sante de mbouo bandjoun,Ouest,Analyses Médicales,health_training,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",NO_MATCH,NO_MATCH,normalized,https://examen-national-special-minsante.cm/loadfile/L2hvbWUvZXhhbWVuL2NvbmNvdXJzZnJhbWV3b3JrL3N0b3JhZ2UvcGRmL3BhZ2VzL3Jlc3VsdGF0cy9MSVNURV9FQ09MRVNfQUdSRUVTX01JTlNBTlRFXzIwMjUucGRm
8bf90bbd-3520-4f16-8cd7-e708892473bd,COMPLEXE PRIVE DE FORMATION DU PERSONNEL MEDICO-SANITAIRE DE MBOUDA,complexe prive de formation du personnel medico sanitaire de mbouda,Ouest,Infirmiers,health_training,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",NO_MATCH,NO_MATCH,normalized,https://examen-national-special-minsante.cm/loadfile/L2hvbWUvZXhhbWVuL2NvbmNvdXJzZnJhbWV3b3JrL3N0b3JhZ2UvcGRmL3BhZ2VzL3Jlc3VsdGF0cy9MSVNURV9FQ09MRVNfQUdSRUVTX01JTlNBTlRFXzIwMjUucGRm
109f38dc-ff92-4fb9-9028-f2f1fb065042,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,des infirmiers diplomes d etat de bafoussam,Ouest,Infirmiers,health_training,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",DUPLICATE_REVIEW,Ambiguïté de dédoublonnage NON résolue au sein du pilote (§9-10) — voir minsante-b-dedup-review.csv pour le(s) candidat(s) apparenté(s).,NO_MATCH,NO_MATCH,duplicate_review,https://examen-national-special-minsante.cm/loadfile/L2hvbWUvZXhhbWVuL2NvbmNvdXJzZnJhbWV3b3JrL3N0b3JhZ2UvcGRmL3BhZ2VzL3Jlc3VsdGF0cy9MSVNURV9FQ09MRVNfQUdSRUVTX01JTlNBTlRFXzIwMjUucGRm
ba827d94-6542-40fd-b811-a0d964a8bceb,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE FOUMBAN,des infirmiers diplomes d etat de foumban,Ouest,Infirmiers,health_training,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",DUPLICATE_REVIEW,Ambiguïté de dédoublonnage NON résolue au sein du pilote (§9-10) — voir minsante-b-dedup-review.csv pour le(s) candidat(s) apparenté(s).,NO_MATCH,NO_MATCH,duplicate_review,https://examen-national-special-minsante.cm/loadfile/L2hvbWUvZXhhbWVuL2NvbmNvdXJzZnJhbWV3b3JrL3N0b3JhZ2UvcGRmL3BhZ2VzL3Jlc3VsdGF0cy9MSVNURV9FQ09MRVNfQUdSRUVTX01JTlNBTlRFXzIwMjUucGRm
7517d1df-be2c-4b4e-bb15-fc4548735739,ECOLE DES METIERS DE LA SANTE DE BAMOUGOUM,des metiers de la sante de bamougoum,Ouest,Analyses Médicales | Infirmiers,health_training,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",DUPLICATE_REVIEW,Ambiguïté de dédoublonnage NON résolue au sein du pilote (§9-10) — voir minsante-b-dedup-review.csv pour le(s) candidat(s) apparenté(s).,NO_MATCH,NO_MATCH,duplicate_review,https://examen-national-special-minsante.cm/loadfile/L2hvbWUvZXhhbWVuL2NvbmNvdXJzZnJhbWV3b3JrL3N0b3JhZ2UvcGRmL3BhZ2VzL3Jlc3VsdGF0cy9MSVNURV9FQ09MRVNfQUdSRUVTX01JTlNBTlRFXzIwMjUucGRm
276633af-df10-4d1e-b91e-596c7a50ed34,ECOLE DES METIERS DE LA SANTE EMES DE BAMOUGOUM,des metiers de la sante emes de bamougoum,Ouest,Sages-femmes/Maïeuticiens,health_training,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",DUPLICATE_REVIEW,Ambiguïté de dédoublonnage NON résolue au sein du pilote (§9-10) — voir minsante-b-dedup-review.csv pour le(s) candidat(s) apparenté(s).,NO_MATCH,NO_MATCH,duplicate_review,https://examen-national-special-minsante.cm/loadfile/L2hvbWUvZXhhbWVuL2NvbmNvdXJzZnJhbWV3b3JrL3N0b3JhZ2UvcGRmL3BhZ2VzL3Jlc3VsdGF0cy9MSVNURV9FQ09MRVNfQUdSRUVTX01JTlNBTlRFXzIwMjUucGRm
92c96f6f-bf11-4de7-b9cf-44f2be0564b4,ECOLE DES PROFESSIONNELS DE LA SANTE LES ETOILES DE BAFOUSSAM,des professionnels de la sante les etoiles de bafoussam,Ouest,Analyses Médicales,health_training,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",NO_MATCH,NO_MATCH,normalized,https://examen-national-special-minsante.cm/loadfile/L2hvbWUvZXhhbWVuL2NvbmNvdXJzZnJhbWV3b3JrL3N0b3JhZ2UvcGRmL3BhZ2VzL3Jlc3VsdGF0cy9MSVNURV9FQ09MRVNfQUdSRUVTX01JTlNBTlRFXzIwMjUucGRm
273f8980-4983-4ae8-b3c1-8b1036dfd43d,ECOLE DES SCIENCES DE LA SANTE DE L'INSTITUT SUPERIEUR DE BAFANG,des sciences de la sante de l institut superieur de bafang,Ouest,Analyses Médicales | Infirmiers | Odontostomatologie | Sages-femmes/Maïeuticiens,health_training,HEALTH_TRAINING_HIGHER_ED,Titre officiel contient un mot de niveau explicite (supérieur/universitaire/université/faculté) — auto-déclaré par l'établissement.,CLEAN_APPROVABLE,"Aucun signal de doublon (live/staging/dédup), catégorie suffisamment comprise, aucun problème de source, aucune PII.",NO_MATCH,NO_MATCH,ready,https://examen-national-special-minsante.cm/loadfile/L2hvbWUvZXhhbWVuL2NvbmNvdXJzZnJhbWV3b3JrL3N0b3JhZ2UvcGRmL3BhZ2VzL3Jlc3VsdGF0cy9MSVNURV9FQ09MRVNfQUdSRUVTX01JTlNBTlRFXzIwMjUucGRm
