approved_staging_id,approved_name,paired_staging_id,paired_name,paired_state,match_level_before,score_before,shared_tokens_before,geography_before,decision,decision_reason
109f38dc-ff92-4fb9-9028-f2f1fb065042,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,2c29d228-e387-4db1-a855-7425c05e6a96,ECOLE PRIVEE FONDATION JEUGEUVOU FOWANG DE BAFOUSSAM,CATEGORY_REVIEW,AMBIGUOUS,25%,region=Ouest (city then NULL),region=Ouest (city then NULL),CONFIRMED_DISTINCT,"Aucun nom propre/fondateur/sigle partagé. Candidat = institution de type ""diplome d'Etat"" generique (aucun fondateur nomme) ; cible = fondateur explicite ""Jeugeuvou Fowang"" propre a cette seule ecole. Seul mot significatif partage avant durcissement etait ""bafoussam"" (nom de ville, jamais une preuve d'identite)."
109f38dc-ff92-4fb9-9028-f2f1fb065042,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,265476d2-d4fe-4e6d-adc7-39cabdc01fa8,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FONDATION SAINT MAURICE DE BAFOUSSAM,CATEGORY_REVIEW,AMBIGUOUS,25%,region=Ouest (city then NULL),region=Ouest (city then NULL),CONFIRMED_DISTINCT,"Fondateur explicite ""Saint Maurice"" propre a cette cible, absent du candidat. Aucun nom propre partage — seul le vocabulaire sante generique (personnels/sante/fondation) et la ville etaient communs avant durcissement."
109f38dc-ff92-4fb9-9028-f2f1fb065042,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,92c96f6f-bf11-4de7-b9cf-44f2be0564b4,ECOLE DES PROFESSIONNELS DE LA SANTE LES ETOILES DE BAFOUSSAM,CATEGORY_REVIEW,AMBIGUOUS,25%,region=Ouest (city then NULL),region=Ouest (city then NULL),CONFIRMED_DISTINCT,"Nom propre distinctif ""Les Etoiles"" present uniquement dans la cible, absent du candidat. Aucun chevauchement de nom propre."
109f38dc-ff92-4fb9-9028-f2f1fb065042,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,5f99f3be-fd64-4d9a-a8fd-709d9e4f0821,"ECOLE PRIVEE DE FORMATION DES PERSONNELS SANITAIRES ""SAINT JOSEPH"" DE BAFOUSSAM",CATEGORY_REVIEW,AMBIGUOUS,25%,region=Ouest (city then NULL),region=Ouest (city then NULL),CONFIRMED_DISTINCT,"Fondateur/sigle explicite ""Saint Joseph"" propre a cette cible, absent du candidat. Aucun nom propre partage."
109f38dc-ff92-4fb9-9028-f2f1fb065042,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,0e0202b8-3175-4db9-890d-0294057239a1,ECOLE PRIVEE DE FORMATION DU PERSONNEL DE LA SANTE DE BAFOUSSAM,CATEGORY_REVIEW,AMBIGUOUS,25%,region=Ouest (city then NULL),region=Ouest (city then NULL),CONFIRMED_DISTINCT,"Aucun nom propre des deux cotes — les deux noms sont purement generiques une fois le vocabulaire sante retire. Aucune preuve positive d'identite commune ; deux entrees purement generiques restent DISTINCTES par defaut, jamais fusionnees sur la seule absence de contre-preuve."
109f38dc-ff92-4fb9-9028-f2f1fb065042,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,27a2a636-eced-4971-8f62-67d8d1028ab3,"INSTITUT TROPICAL DE FORMATION EN PLAIES CHRONIQUES ET EN SOINS INFIRMIERS ""MOULLEC"" DE BALEVENG",CATEGORY_REVIEW,AMBIGUOUS,25%,region=Ouest (city then NULL),region=Ouest (city then NULL),CONFIRMED_DISTINCT,"Ville differente une fois enrichie (Bafoussam vs Baleveng, preuve directe = suffixe du nom officiel). Fondateur/marque explicite ""Moullec"" propre a la cible, absent du candidat. Specialisation differente (plaies chroniques vs formation generale d'infirmiers d'Etat)."
109f38dc-ff92-4fb9-9028-f2f1fb065042,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,f56097c9-ac2a-4bae-95af-2838aed0033f,INSTITUT DES SCIENCES DE LA SANTE POOLA DE BAFOUSSAM,CATEGORY_REVIEW,AMBIGUOUS,25%,region=Ouest (city then NULL),region=Ouest (city then NULL),CONFIRMED_DISTINCT,"Nom propre distinctif ""Poola"" present uniquement dans la cible, absent du candidat. Aucun nom propre partage."
273f8980-4983-4ae8-b3c1-8b1036dfd43d,ECOLE DES SCIENCES DE LA SANTE DE L'INSTITUT SUPERIEUR DE BAFANG,500e77b8-68a9-4e4f-8e0f-032890ff8520,INSTITUT DES SCIENCES MEDICO-SANITAIRES LES ARGUS DE BANDJOUN,CATEGORY_REVIEW,AMBIGUOUS,50%,region=Ouest (city then NULL),region=Ouest (city then NULL),CONFIRMED_DISTINCT,"Ville differente une fois enrichie (Bafang vs Bandjoun, preuve directe = suffixe du nom officiel) — signal geographique negatif fort. Nom propre distinctif ""Les Argus"" present uniquement dans la cible."
273f8980-4983-4ae8-b3c1-8b1036dfd43d,ECOLE DES SCIENCES DE LA SANTE DE L'INSTITUT SUPERIEUR DE BAFANG,f56097c9-ac2a-4bae-95af-2838aed0033f,INSTITUT DES SCIENCES DE LA SANTE POOLA DE BAFOUSSAM,CATEGORY_REVIEW,AMBIGUOUS,50%,region=Ouest (city then NULL),region=Ouest (city then NULL),CONFIRMED_DISTINCT,"Ville differente une fois enrichie (Bafang vs Bafoussam) — signal geographique negatif fort. Nom propre distinctif ""Poola"" present uniquement dans la cible, absent du candidat (qui n'a aucun nom propre)."
79370ccb-3f09-426f-bdc7-bc6ac9055345,ECOLE PRIVEE DES SCIENCES DE LA SANTE MENO DE BAMENA,500e77b8-68a9-4e4f-8e0f-032890ff8520,INSTITUT DES SCIENCES MEDICO-SANITAIRES LES ARGUS DE BANDJOUN,CATEGORY_REVIEW,AMBIGUOUS,33%,region=Ouest (city then NULL),region=Ouest (city then NULL),CONFIRMED_DISTINCT,"Noms propres distincts (""Meno"" vs ""Les Argus""), villes differentes une fois enrichies (Bamena vs Bandjoun)."
79370ccb-3f09-426f-bdc7-bc6ac9055345,ECOLE PRIVEE DES SCIENCES DE LA SANTE MENO DE BAMENA,f56097c9-ac2a-4bae-95af-2838aed0033f,INSTITUT DES SCIENCES DE LA SANTE POOLA DE BAFOUSSAM,CATEGORY_REVIEW,AMBIGUOUS,33%,region=Ouest (city then NULL),region=Ouest (city then NULL),CONFIRMED_DISTINCT,"Noms propres distincts (""Meno"" vs ""Poola""), villes differentes une fois enrichies (Bamena vs Bafoussam)."
9c4b9a28-1aa2-4fc2-baa8-48d3919758f7,ECOLE PRIVEE FONDATION TCHUENTE DE BAFOUSSAM,2c29d228-e387-4db1-a855-7425c05e6a96,ECOLE PRIVEE FONDATION JEUGEUVOU FOWANG DE BAFOUSSAM,CATEGORY_REVIEW,AMBIGUOUS,67%,region=Ouest (city then NULL),region=Ouest (city then NULL) — meme ville Bafoussam une fois enrichie,CONFIRMED_DISTINCT,"Meme ville (Bafoussam) mais fondateurs explicitement DIFFERENTS : ""Tchuente"" vs ""Jeugeuvou Fowang"". La ville seule est une preuve faible (hierarchie §4 point 4) ; le nom du fondateur est le signal fort ici et il diverge nettement — deux ecoles privees distinctes fondees par des personnes differentes dans la meme ville, cas courant et attendu (pas une preuve de doublon)."
