locality,education_family,count
(inconnue),secondary_general,84
1,secondary_general,2
1er dgr de Dir,secondary_general,1
1er dgre,secondary_general,1
1r DEGRE DE MESKINE,secondary_general,1
2,secondary_general,1
2 DEDRE LAMIDAT DE DARGALA,secondary_general,1
2 DEGRE,secondary_general,1
2 DEGRE WACK,secondary_general,1
2e degre,secondary_general,1
2E DEGRE,secondary_general,2
2emeDEGRE,secondary_general,1
2me Degr de Lokoti,secondary_general,1
2me Degr de Ngaoui,secondary_general,1
2me Dgr de BAGODO,secondary_general,1
2me dgr Djoohong,secondary_general,1
3,secondary_general,4
3 DEGRE,secondary_general,1
3 DEGRE KOLLERE,secondary_general,1
3 dgr de Garga Limbona,secondary_general,1
3e degr MAYO-LOPE,secondary_general,1
3e degre,secondary_general,1
3e DEGRE,secondary_general,2
3EME,secondary_general,1
3me Degr de MIKILA,secondary_general,1
3me DEGRE DE MAKABAYE,secondary_general,1
3me Degre de MEIDOUGOU,secondary_general,1
3me DEGRE YAMBA,secondary_general,1
3me Dgr BATOUA-GODOLE,secondary_general,1
3me Dgr de GUNBELA,secondary_general,1
ADOUMRI,secondary_general,1
AFADE,secondary_general,1
ALAPITARI,secondary_general,1
ALLAT,secondary_general,1
APOUH,secondary_general,1
BABADJOU,secondary_general,1
BABADJOUI,secondary_general,1
Babekouo,secondary_general,1
BABOU,secondary_general,1
BABOUANTOU,secondary_general,1
BABOUTCHA NINTCHEU,secondary_general,1
BACDONKO,secondary_general,1
BACHUA,secondary_general,1
BADADJI,secondary_general,1
BAFOU,secondary_general,2
BAFOUNDA,secondary_general,1
BAFOUSSAM,secondary_general,4
BAGAM,secondary_general,4
BAGOM,secondary_general,1
BAHAM,secondary_general,2
BAHOUAN,secondary_general,1
BAHOUOC,secondary_general,1
BAKANG,secondary_general,1
BAKASA,secondary_general,1
BAKASSA,secondary_general,1
BALAFOTIO,secondary_general,1
BALANE,secondary_general,1
BALATCHI,secondary_general,1
BALAZA ALCALI,secondary_general,1
BALDA,secondary_general,1
BALDAMA,secondary_general,1
BALE,secondary_general,1
BALEFOCK,secondary_general,1
BALENG,secondary_general,3
BALENGOU,secondary_general,2
BALESSING,secondary_general,2
BALEVENG,secondary_general,1
BALIG,secondary_general,1
BALOUM,secondary_general,1
BAMANGA,secondary_general,1
BAMBI,secondary_general,1
BAME,secondary_general,1
Bameka,secondary_general,1
BAMENA,secondary_general,2
BAMENCHI,secondary_general,1
BAMENDJINDA,secondary_general,1
Bamendjou,secondary_general,1
BAMENDJOU,secondary_general,1
BAMENDOU,secondary_general,4
BAMENGUI,secondary_general,1
BAMENKOMBO,secondary_general,1
BAMENYAM,secondary_general,1
BAMESSINGUE BAMELO'O,secondary_general,1
BAMESSO,secondary_general,1
BAMETCHETCHA,secondary_general,1
BAMETIM,secondary_general,1
BAMOUGOUM,secondary_general,4
BAMYANGA,secondary_general,1
Bana,secondary_general,1
BANDAM,secondary_general,1
BANDENKOP,secondary_general,1
BANDJA,secondary_general,1
BANDJOUN,secondary_general,5
Bandoumkassa,secondary_general,1
BANDOUNGA,secondary_general,1
BANFEKO,secondary_general,1
BANGAMBI,secondary_general,1
BANGANA,secondary_general,2
BANGANG,secondary_general,2
BANGANG FOKAM,secondary_general,1
BANGANGTE,secondary_general,1
BANGOU,secondary_general,3
BANGOUA,secondary_general,2
BANGOULAP,secondary_general,1
Bangourain,secondary_general,1
BANGWANG,secondary_general,1
BANKA,secondary_general,1
BANKIM,secondary_general,2
BANKONDJI,secondary_general,1
Bansoa,secondary_general,1
BANTSIET,secondary_general,1
BANWA CENTRE,secondary_general,1
BANYO,secondary_general,1
Banza,secondary_general,1
BAO-DALZA,secondary_general,1
BAO-GUIRDE,secondary_general,1
Baonia-Djallou,secondary_general,1
BAPA,secondary_general,1
BAPI,secondary_general,1
BAPOSSA,secondary_general,1
BAPOUNGUE,secondary_general,1
BARLANG,secondary_general,1
BASCHEO,secondary_general,2
BASSESSA,secondary_general,1
BASSEU,secondary_general,1
BASSOH,secondary_general,1
BATCHA,secondary_general,1
BATCHAM,secondary_general,1
BATCHUETIO,secondary_general,1
BATELA,secondary_general,1
BATI,secondary_general,1
BATIE,secondary_general,1
BATOSSESSONG,secondary_general,1
BATOUFAM,secondary_general,1
BATOUNTA,secondary_general,1
BATSING'LA,secondary_general,1
BAYANGAM,secondary_general,2
BAZOU,secondary_general,2
BE,secondary_general,3
BEBERE,secondary_general,1
BEGUE-PALAM,secondary_general,1
BEKA,secondary_general,1
BEKA GUIWANG,secondary_general,1
BEKA HOSSERE,secondary_general,1
BEKA MODIBO,secondary_general,1
BEKA NGAOUMOKONE,secondary_general,1
BEREM,secondary_general,1
BGTE,secondary_general,1
BIBEMI,secondary_general,2
BIBEMIRE,secondary_general,1
BIKALE CENTRE,secondary_general,1
BIOU,secondary_general,1
BIPAING,secondary_general,1
BOBOYO,secondary_general,1
Bockle,secondary_general,1
BODO,secondary_general,1
BOELI,secondary_general,1
BOGO,secondary_general,1
BOUGAYE,secondary_general,1
BOULA,secondary_general,1
BOUMBA,secondary_general,1
BOURHA,secondary_general,1
BOUROU,secondary_general,1
BURKINA,secondary_general,1
CANTON DE GAYAK,secondary_general,1
CHEFFERIE DOURSOUNGO,secondary_general,1
Chefferie Njingoumbe/Chefferie Njitapon,secondary_general,1
CHEFFERIE SUPERIEURE BANSOA (2e DEGRE),secondary_general,1
CHEFFERIE SUPERIEURE DU 3EME DEGRE,secondary_general,1
CHENGNE,secondary_general,1
DABAYE 2,secondary_general,1
DADJAMKA,secondary_general,1
DANA,secondary_general,1
DANFILI,secondary_general,1
DARAM,secondary_general,2
DARGALA,secondary_general,1
DENGUI,secondary_general,1
DIBI,secondary_general,1
DIDANGO 1,secondary_general,1
DIMEO,secondary_general,1
DJALINGO,secondary_general,1
DJALOUMI,secondary_general,1
DJAMBOUTOU,secondary_general,1
DJEMADJOU,secondary_general,1
DJENGRENG,secondary_general,1
DJEU,secondary_general,1
DJOUMASSI,secondary_general,1
DJOUMTE,secondary_general,1
DJOUNDE,secondary_general,1
Djuttitsa,secondary_general,1
DOBINGA,secondary_general,1
DOGBA,secondary_general,1
Dolla,secondary_general,1
DOMAYO,secondary_general,1
DOMO,secondary_general,1
DOMPLA,secondary_general,1
DONGROSSE,secondary_general,1
DOREISSOU,secondary_general,1
Doualayel,secondary_general,1
DOUAYE,secondary_general,1
DOUGOI,secondary_general,1
DOUKOULA,secondary_general,3
DOUKROYE,secondary_general,1
DOULEK,secondary_general,1
DOUMO,secondary_general,1
DOUMROU,secondary_general,1
DOURBEYE,secondary_general,1
DOUROUM,secondary_general,3
DOYANG,secondary_general,1
DZAH MIDRE,secondary_general,1
DZIGUILAO,secondary_general,1
FADA,secondary_general,1
FAMTCHOUET III,secondary_general,1
FAMTUM,secondary_general,1
FEUBATH,secondary_general,1
FIELAH,secondary_general,1
FIGUIL,secondary_general,1
FOKOUE,secondary_general,1
FOMBAP,secondary_general,1
FOMESSA II,secondary_general,1
FOMOPEA,secondary_general,1
FONAKEUKEU,secondary_general,1
FONDANTI,secondary_general,1
FONDJANTI,secondary_general,1
FONDJOMEKWET,secondary_general,1
Fongo tongo,secondary_general,1
FONGO-NDENG,secondary_general,1
FONGUE-TAFOU,secondary_general,1
FONKOUANKEM,secondary_general,1
FONTSA-TOUALA,secondary_general,1
FOPOUANGA,secondary_general,1
FOREKE-DSCHANG,secondary_general,1
FOSSANG,secondary_general,1
FOSSET,secondary_general,1
FOSSONG WENTCHENG,secondary_general,1
FOTETSA,secondary_general,1
FOTO,secondary_general,2
FOTOUNI,secondary_general,1
FOUALA,secondary_general,1
FOULOU,secondary_general,1
FOUYOUOM,secondary_general,1
FOYETT,secondary_general,1
GABAN,secondary_general,1
GABARAYE-WIDI,secondary_general,1
GABOUA,secondary_general,1
Gada-Mabanga,secondary_general,1
GADALA,secondary_general,1
GADJIWAN,secondary_general,1
GALAM,secondary_general,1
Galim-tignre,secondary_general,1
GAMBA,secondary_general,1
GANGALANG,secondary_general,1
GANGASSAOU,secondary_general,1
GARE,secondary_general,1
GAROUA,secondary_general,1
GASCHIGA-BOGARE,secondary_general,1
GASSANGUEL,secondary_general,1
GAWAR,secondary_general,1
GAWEL,secondary_general,1
GOBIO,secondary_general,1
GOBO,secondary_general,2
GODE-GARE,secondary_general,1
GODOLA,secondary_general,1
GOLOMBE,secondary_general,1
GOLOMPOUI,secondary_general,1
GOLONDAKRI,secondary_general,1
GOLONGHINI,secondary_general,1
GOUDOUM-GOUDOUM,secondary_general,1
GOUIN,secondary_general,1
GOULFEY,secondary_general,2
GOUNA,secondary_general,1
GOUNDAYE,secondary_general,1
GOUVAKA,secondary_general,1
GUEDA-BIBEMI,secondary_general,1
GUEMERE,secondary_general,1
GUEREME,secondary_general,1
GUIANGO,secondary_general,1
GUIDER,secondary_general,3
GUIDIGUIS,secondary_general,2
GUILI,secondary_general,3
GUINADJI,secondary_general,1
GUINLAYE,secondary_general,1
GUIRVIDIG,secondary_general,2
GUIRVIZA,secondary_general,1
GUISEYE,secondary_general,1
HAMADJANGUI,secondary_general,1
HARDE,secondary_general,1
HILE-ALIFA II,secondary_general,1
HINALE,secondary_general,1
HOUPOU,secondary_general,1
IBOU-KOUSSERI,secondary_general,1
KAELE,secondary_general,2
KAHEO,secondary_general,1
KAI-KAI,secondary_general,1
KAKALA,secondary_general,1
KALALDI,secondary_general,1
KALFOU,secondary_general,2
KALLIAO,secondary_general,1
KAMARKI,secondary_general,1
Karmaye,secondary_general,1
KARTOUA,secondary_general,1
KASSALA YANE,secondary_general,1
KATE,secondary_general,1
KATOUAL 2e degre,secondary_general,1
Kekem,secondary_general,1
KERAWA,secondary_general,1
KILA-WALAKA,secondary_general,1
KISMATARI,secondary_general,1
KOATA,secondary_general,1
KODEK,secondary_general,1
KOFIDE,secondary_general,1
KOINDERI,secondary_general,1
Kola,secondary_general,1
KOLARA,secondary_general,1
KOLOFATA,secondary_general,1
KONGOLA DJOLAO,secondary_general,1
KONKORONG,secondary_general,1
KONTCHA,secondary_general,1
KORRE,secondary_general,1
KOUCHAN KAP,secondary_general,1
Kouenmeka,secondary_general,1
KOUHOUAT,secondary_general,1
KOUMENGBA,secondary_general,1
KOUNDJA,secondary_general,1
KOUNDOUM,secondary_general,1
Koundoumbain,secondary_general,1
KOUPA KAGNAM,secondary_general,1
KOURBI,secondary_general,1
KOURGUI,secondary_general,1
KOUROM,secondary_general,1
KOUSSERI,secondary_general,2
KOUTABA LEPROSERIE,secondary_general,1
KOUTOUPIT,secondary_general,1
KOZA,secondary_general,2
KOZA II,secondary_general,1
LABOUN,secondary_general,1
LAC,secondary_general,1
LAM,secondary_general,1
LAMIDAT DE MBE,secondary_general,1
LARA,secondary_general,1
LARBAK,secondary_general,1
LASSOUMTI,secondary_general,1
LATCHOUET,secondary_general,1
LAWANAT,secondary_general,2
LAWANAT DE DAMA,secondary_general,1
LAWANAT DE KADA'A,secondary_general,1
LAWANAT DE LDIRI,secondary_general,1
LAWANAT DE LOKO,secondary_general,1
LENA,secondary_general,1
LEPOH,secondary_general,1
LESSE,secondary_general,1
LIBE,secondary_general,1
Libong,secondary_general,1
LIKOK,secondary_general,1
LIMANI,secondary_general,1
LINGAM,secondary_general,1
LITIEU,secondary_general,1
LOGONE BIRNI,secondary_general,1
LOGONE-BIRNI,secondary_general,1
LOKORO,secondary_general,1
LOUGGUERE,secondary_general,1
LOUGOYE MASSOUANG,secondary_general,1
LOULOU,secondary_general,1
LOWEL,secondary_general,1
MADA,secondary_general,1
MADAGASCAR,secondary_general,1
MADAKA,secondary_general,1
MADAKONAI,secondary_general,1
MADALAM,secondary_general,1
MAGBASSAH,secondary_general,1
MAKALINGAI,secondary_general,2
MAKARI,secondary_general,1
MAKARY,secondary_general,2
MAKONG 1,secondary_general,1
MAKOUETVU,secondary_general,1
Makpantoum,secondary_general,1
MALANDEN,secondary_general,1
Malang,secondary_general,1
MALANTOUEN,secondary_general,1
MAMOGNAM,secondary_general,1
MANCHIMBAIN,secondary_general,1
MANDA,secondary_general,1
MANDAH,secondary_general,1
Mandinga,secondary_general,1
MANDOUSSA,secondary_general,1
MANGO,secondary_general,1
MANGUIEMBOU,secondary_general,1
MANJE-KOUTOU,secondary_general,1
MANTOUM,secondary_general,1
Manwi,secondary_general,1
MANZOKO,secondary_general,1
MAPOU-NJIPOUTE,secondary_general,1
MARADI,secondary_general,1
MARAPNDOUM,secondary_general,1
MARDOCK,secondary_general,1
MAROUA,secondary_general,1
MAROUARE,secondary_general,1
MARTAP,secondary_general,1
MARZA,secondary_general,1
MASGAYA,secondary_general,1
MASSAKAL,secondary_general,1
Massangam,secondary_general,1
MASSANGAM,secondary_general,1
MATAKAM NORD,secondary_general,1
Matakam Sud,secondary_general,1
MATAKAM SUD,secondary_general,3
MATOUFA,secondary_general,1
MATTA 3E DEGRE,secondary_general,1
MAYAMI,secondary_general,1
Mayap,secondary_general,1
MAYAP,secondary_general,1
MAYO OULO,secondary_general,1
Mayo Salah,secondary_general,1
MAYO-DARLE,secondary_general,1
MAYO-OULDEME,secondary_general,1
MAYO-ROUA,secondary_general,1
MAZAM,secondary_general,1
MAZAYA,secondary_general,1
MAZERA,secondary_general,1
MBAGA,secondary_general,1
MBAI-MBOUM,secondary_general,1
MBAKANA,secondary_general,1
MBAKAOU,secondary_general,1
MBAKOP,secondary_general,1
MBANG REY,secondary_general,1
MBANG-MBOUM,secondary_general,1
MBANKOUOP,secondary_general,1
MBARANG,secondary_general,1
MBILO,secondary_general,1
MBOEBO,secondary_general,1
MBOUM AVIATION,secondary_general,1
MEDJO,secondary_general,1
MEGUEU,secondary_general,1
Meidjamba,secondary_general,1
MEME,secondary_general,1
MENG,secondary_general,1
MERI,secondary_general,1
MIDJIVIN,secondary_general,3
MINDIF,secondary_general,1
MODJOMBODI,secondary_general,1
MOGODE,secondary_general,2
MOGOM,secondary_general,2
Mokola,secondary_general,1
Mokolo,secondary_general,1
MOKOLO,secondary_general,3
MOKONG,secondary_general,1
MORA VILLE,secondary_general,1
MORA-MASSIF,secondary_general,1
MOUDA,secondary_general,1
MOULVOUDAYE,secondary_general,1
Moumour,secondary_general,1
MOUROUM,secondary_general,1
MOUSGOY,secondary_general,2
MOUSSEYE,secondary_general,1
MOUTOURWA,secondary_general,1
MOZOGO,secondary_general,2
NASSARAO,secondary_general,1
NDENTO,secondary_general,1
NDIAM-BADI,secondary_general,1
NDOUKOULA,secondary_general,1
NENEAKRI,secondary_general,1
NGAN-HA,secondary_general,1
NGAOUNDERE,secondary_general,1
NGAOUYANGA,secondary_general,1
NGASSIRI,secondary_general,1
NGAYA,secondary_general,1
NGBETSOUEN,secondary_general,1
NGOULORI,secondary_general,1
NGOUMI,secondary_general,1
NGOUNSO,secondary_general,1
NGWATTA,secondary_general,1
NJIKETNKIE,secondary_general,1
NJIMBAM II,secondary_general,1
NJIMOM,secondary_general,1
NJINCHA,secondary_general,1
NJINDOUN,secondary_general,1
NJINKA,secondary_general,1
NKONG-NGAM,secondary_general,1
NOUBOU,secondary_general,1
NYAMBAKA,secondary_general,1
NYAMBOYA,secondary_general,1
NYASSAR,secondary_general,1
Oudoumzarai,secondary_general,1
Oui,secondary_general,1
OUI,secondary_general,7
OULARGO,secondary_general,1
OURO ARDO-REY,secondary_general,1
OURO MBAI,secondary_general,1
OURO ZANGUI,secondary_general,1
OURO-KESSOUM,secondary_general,1
PALAR,secondary_general,1
PANGAR,secondary_general,1
PENE,secondary_general,1
PETTE,secondary_general,2
PINTCHOUMBA,secondary_general,1
PODOKO CENTRE,secondary_general,1
POLGUE,secondary_general,1
Pologozom,secondary_general,1
POUADEU,secondary_general,1
POUSS,secondary_general,5
Premier dgre,secondary_general,1
QT 17,secondary_general,1
QUARTIER 6,secondary_general,1
Quartier yoko,secondary_general,1
RABINGHA,secondary_general,1
REY BOUBA,secondary_general,3
REY-BOUBA,secondary_general,3
RHUMSIKI,secondary_general,1
RHUMZOU,secondary_general,1
ROMPO,secondary_general,1
SAARI,secondary_general,1
Saawoussou,secondary_general,1
SABONGARI,secondary_general,1
SABONGARI II,secondary_general,1
SADECK,secondary_general,1
SAKDJE,secondary_general,1
SALAK,secondary_general,1
SAMBOLABO,secondary_general,1
