official_name,category_hint,city,source_name,source_url,source_type,match_type,matched_against
Lycée d'Emana,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée de Nkolondom,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée de Mballa II,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée d'Elig-Essono,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée Bilingue de Nkoleton,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
CES de Nyom,ces_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée Technique Charles Atangana,lycee_technique_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/technique-ca/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée Technique de Nsam-Efoulan,lycee_technique_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée de la Cité Verte,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée de Tsinga,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée Technique de Yaoundé II,lycee_technique_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée de Ngoa-Ekellé,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée Bilingue d'Application,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée de Nsam-Efoulan,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée de Biyem-Assi,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée d'Afan Oyoa,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée d'Ahala,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée Technique Industriel et Commercial Bilingue,lycee_technique_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée Technique Bilingue de Nsam-Efoulan,lycee_technique_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée Technique d'Afan Oyoa,lycee_technique_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
CETIC de Ngoa-Ekellé,cetic_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
CETIF de Ngoa Ekelle,cetif_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée Bilingue d'Ekounou,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée Bilingue d'Anguissa,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée Bilingue de Mimboman,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée d'Odza,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée de Minkan,lycee_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Lycée Technique d'Ekounou,lycee_technique_public,Yaoundé,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
